date,description,amount,category
2026-05-01,PAYROLL DIRECT DEPOSIT,4200.00,income
2026-05-01,RENT - APARTMENTS LLC,-1850.00,rent
2026-05-02,Whole Foods Market #482,-92.34,
2026-05-03,Starbucks Store 12,-5.75,
2026-05-03,Netflix.com,-15.49,
2026-05-04,Uber Trip,-18.30,
2026-05-05,Shell Gas Station,-44.10,
2026-05-06,Trader Joe's,-58.22,
2026-05-07,Spotify USA,-10.99,
2026-05-08,Amazon.com,-31.45,
2026-05-09,Chipotle Online,-13.20,
2026-05-10,PG&E ELECTRIC,-88.45,
2026-05-11,Doordash,-22.10,
2026-05-12,Whole Foods Market #482,-78.91,
2026-05-14,CVS Pharmacy,-12.40,
2026-05-15,PAYROLL DIRECT DEPOSIT,4200.00,income
2026-05-15,T-Mobile,-65.00,
2026-05-16,Amazon.com,-149.99,
2026-05-17,Lyft,-14.50,
2026-05-19,Starbucks Store 12,-6.10,
2026-05-21,Uber Eats,-26.75,
2026-05-22,Costco Wholesale,-184.10,
2026-05-24,Apple.com/Bill,-2.99,
2026-05-26,AMC Theatres,-18.00,
2026-05-28,Whole Foods Market #482,-105.62,
2026-05-29,Comcast Xfinity,-79.99,
2026-04-01,PAYROLL DIRECT DEPOSIT,4200.00,income
2026-04-01,RENT - APARTMENTS LLC,-1850.00,rent
2026-04-03,Netflix.com,-15.49,
2026-04-05,Spotify USA,-10.99,
2026-04-07,Whole Foods Market #482,-71.30,
2026-04-12,Shell Gas Station,-39.85,
2026-04-15,PAYROLL DIRECT DEPOSIT,4200.00,income
2026-04-18,Costco Wholesale,-201.45,
2026-04-22,T-Mobile,-65.00,
2026-04-25,Comcast Xfinity,-79.99,
2026-04-29,Amazon.com,-58.20,
2026-03-01,RENT - APARTMENTS LLC,-1850.00,rent
2026-03-03,Netflix.com,-15.49,
2026-03-05,Spotify USA,-10.99,
2026-03-15,PAYROLL DIRECT DEPOSIT,4200.00,income
2026-03-22,T-Mobile,-65.00,
2026-03-25,Comcast Xfinity,-79.99,
2026-03-28,SUSPICIOUS CHARGE LLC,-499.00,
